league_name,level_category_points,league_points_f13
sjchl,70.04545455,1400.0
sjfhl-w,70.04545455,1400.0
sjhl,82.45454545,2400.0
sjjhl,70.04545455,1400.0
smaaahl,78.31818182,2000.0
spengler-cup,8.0,0.0
ssfhl-w,70.04545455,1400.0
sshl-sr.,70.04545455,1400.0
sshl-u15,57.63636364,800.0
sshl-u18,70.04545455,1400.0
step-u15,57.63636364,800.0
step-u18,70.04545455,1400.0
svhl,70.04545455,1400.0
swhl,70.04545455,1400.0
thhl,70.04545455,1400.0
thl,70.04545455,1400.0
tnphl,70.04545455,1400.0
trhl,70.04545455,1400.0
u14-a,53.5,600.0
u14-aa,57.63636364,800.0
u14-aaa,61.77272727,1000.0
u14-b,53.5,600.0
u15-a,57.63636364,800.0
u15-a1,57.63636364,800.0
u15-a2,57.63636364,800.0
u15-aa,61.77272727,1000.0
u15-aaa,65.90909091,1200.0
u15-b,49.36363636,500.0
u16-a,61.77272727,1000.0
u16-aa,65.90909091,1200.0
u16-aaa,70.04545455,1400.0
u16-bb,53.5,600.0
u16-prep,57.63636364,800.0
u17-a,65.90909091,1200.0
u18-a,70.04545455,1400.0
u18-a1,70.04545455,1400.0
u18-a2,70.04545455,1400.0
u18-aa,74.18181818,1700.0
u18-aaa,78.31818182,2000.0
u18-b,61.77272727,1000.0
u18-bb,65.90909091,1200.0
universiade,8.0,0.0
universiade-w,8.0,0.0
ushs-nb,82.45454545,2400.0
usphl-elite,65.90909091,1200.0
usphl-premier,65.90909091,1200.0
usports,86.59090909,2800.0
usports-w,86.59090909,2800.0
ut1hl-16u,65.90909091,1200.0
ut1hl-18u,74.18181818,1700.0
vhshl,70.04545455,1400.0
vibhl,57.63636364,800.0
vijhl,65.90909091,1200.0
waaa-u14,61.77272727,1000.0
waaa-u15,65.90909091,1200.0
waaa-u17,74.18181818,1700.0
wc-w,8.0,0.0
wcouh,8.0,0.0
wcshl,70.04545455,1400.0
wcup,8.0,0.0
whc-17,8.0,0.0
wheatlandshl,70.04545455,1400.0
whl,94.86363636,3600.0
wjac-19,8.0,0.0
wjc-18,8.0,0.0
wjc-18-w,8.0,0.0
wjc-20,8.0,0.0
wmhl,70.04545455,1400.0
wsi-u16,70.04545455,1400.0
wuhl,70.04545455,1400.0
wwhl-mb-w,70.04545455,1400.0
yog,70.04545455,1400.0
youthcups,16.27272727,0.0
asian-wg-w,61.77272727,1000.0
china,70.04545455,1400.0
ewhc-w,65.90909091,1200.0
wc-d1b,8.0,0.0
wcihl-w,70.04545455,1400.0
wjc-18-d2a,70.04545455,1400.0
wjc-20-d2a,74.18181818,1700.0
croatia-u20,74.18181818,1700.0
inthl,70.04545455,1400.0
inthl-w,70.04545455,1400.0
czechia,94.86363636,3600.0
czechia-juniors,74.18181818,1700.0
czechia-other,61.77272727,1000.0
czechia-u15-2,61.77272727,1000.0
czechia-u16-w,70.04545455,1400.0
czechia-u17,74.18181818,1700.0
czechia-u17-2,70.04545455,1400.0
czechia-u17-3,65.90909091,1200.0
czechia-u18-2,70.04545455,1400.0
czechia-u20,86.59090909,2800.0
czechia-u20-2,82.45454545,2400.0
czechia-u20-3,78.31818182,2000.0
czechia-w,90.72727273,3100.0
czechia2,90.72727273,3100.0
czechia2-w,86.59090909,2800.0
czechia3,82.45454545,2400.0
czechia4,78.31818182,2000.0
czechia5,74.18181818,1700.0
czechia6,70.04545455,1400.0
czechia7,65.90909091,1200.0
ec-w,20.40909091,0.0
eht,8.0,0.0
ullh,70.04545455,1400.0
wsi-u14-aaa,61.77272727,1000.0
wsi-u14-w,61.77272727,1000.0
wsi-u15-aaa,65.90909091,1200.0
wsi-u15-w,65.90909091,1200.0
wsi-u18-w,78.31818182,2000.0
denmark,90.72727273,3100.0
denmark-other,74.18181818,1700.0
denmark-u18,74.18181818,1700.0
